province,district,palika,sex,breakdown,sector,value
LUMBINI,Rukum (East),,,Not Stated,20 - 24,15.0
LUMBINI,Rukum (East),,,Not Stated,25 - 29,22.0
LUMBINI,Rukum (East),,,Not Stated,30 - 34,22.0
LUMBINI,Rukum (East),,,Not Stated,35 - 39,36.0
LUMBINI,Rukum (East),,,Not Stated,40 - 44,54.0
LUMBINI,Rukum (East),,,Not Stated,45 - 49,46.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Total,Total No. of children born alive in last 12 months,2351.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Total,15 - 19,74.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Total,20 - 24,313.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Total,25 - 29,377.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Total,30 - 34,426.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Total,35 - 39,433.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Total,40 - 44,395.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Total,45 - 49,333.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Student,Total No. of children born alive in last 12 months,44.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Student,15 - 19,21.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Student,20 - 24,20.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Student,25 - 29,3.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Student,30 - 34,0.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Student,35 - 39,0.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Student,40 - 44,0.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Student,45 - 49,0.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Household chores,Total No. of children born alive in last 12 months,1145.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Household chores,15 - 19,24.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Household chores,20 - 24,131.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Household chores,25 - 29,173.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Household chores,30 - 34,217.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Household chores,35 - 39,236.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Household chores,40 - 44,215.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Household chores,45 - 49,149.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Family care,Total No. of children born alive in last 12 months,783.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Family care,15 - 19,23.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Family care,20 - 24,94.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Family care,25 - 29,148.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Family care,30 - 34,144.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Family care,35 - 39,123.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Family care,40 - 44,126.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Family care,45 - 49,125.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Disable/sickness,Total No. of children born alive in last 12 months,53.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Disable/sickness,15 - 19,0.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Disable/sickness,20 - 24,6.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Disable/sickness,25 - 29,3.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Disable/sickness,30 - 34,3.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Disable/sickness,35 - 39,13.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Disable/sickness,40 - 44,21.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Disable/sickness,45 - 49,7.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Penson / income,Total No. of children born alive in last 12 months,0.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Penson / income,15 - 19,0.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Penson / income,20 - 24,0.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Penson / income,25 - 29,0.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Penson / income,30 - 34,0.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Penson / income,35 - 39,0.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Penson / income,40 - 44,0.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Penson / income,45 - 49,0.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Social work/volunteer,Total No. of children born alive in last 12 months,18.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Social work/volunteer,15 - 19,0.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Social work/volunteer,20 - 24,4.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Social work/volunteer,25 - 29,2.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Social work/volunteer,30 - 34,7.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Social work/volunteer,35 - 39,0.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Social work/volunteer,40 - 44,0.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Social work/volunteer,45 - 49,5.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Other,Total No. of children born alive in last 12 months,181.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Other,15 - 19,6.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Other,20 - 24,46.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Other,25 - 29,30.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Other,30 - 34,35.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Other,35 - 39,34.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Other,40 - 44,7.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Other,45 - 49,23.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Not Stated,Total No. of children born alive in last 12 months,127.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Not Stated,15 - 19,0.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Not Stated,20 - 24,12.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Not Stated,25 - 29,18.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Not Stated,30 - 34,20.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Not Stated,35 - 39,27.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Not Stated,40 - 44,26.0
LUMBINI,Rukum (East),Putha Uttanganga Gaunpalika,,Not Stated,45 - 49,24.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Total,Total No. of children born alive in last 12 months,3809.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Total,15 - 19,89.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Total,20 - 24,429.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Total,25 - 29,624.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Total,30 - 34,642.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Total,35 - 39,723.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Total,40 - 44,671.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Total,45 - 49,631.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Student,Total No. of children born alive in last 12 months,41.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Student,15 - 19,11.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Student,20 - 24,13.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Student,25 - 29,9.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Student,30 - 34,4.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Student,35 - 39,4.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Student,40 - 44,0.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Student,45 - 49,0.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Household chores,Total No. of children born alive in last 12 months,2452.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Household chores,15 - 19,41.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Household chores,20 - 24,239.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Household chores,25 - 29,383.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Household chores,30 - 34,454.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Household chores,35 - 39,453.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Household chores,40 - 44,458.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Household chores,45 - 49,424.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Family care,Total No. of children born alive in last 12 months,701.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Family care,15 - 19,17.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Family care,20 - 24,108.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Family care,25 - 29,131.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Family care,30 - 34,108.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Family care,35 - 39,121.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Family care,40 - 44,108.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Family care,45 - 49,108.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Disable/sickness,Total No. of children born alive in last 12 months,76.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Disable/sickness,15 - 19,3.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Disable/sickness,20 - 24,2.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Disable/sickness,25 - 29,9.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Disable/sickness,30 - 34,2.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Disable/sickness,35 - 39,15.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Disable/sickness,40 - 44,25.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Disable/sickness,45 - 49,20.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Penson / income,Total No. of children born alive in last 12 months,16.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Penson / income,15 - 19,1.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Penson / income,20 - 24,1.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Penson / income,25 - 29,0.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Penson / income,30 - 34,3.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Penson / income,35 - 39,0.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Penson / income,40 - 44,11.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Penson / income,45 - 49,0.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Social work/volunteer,Total No. of children born alive in last 12 months,5.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Social work/volunteer,15 - 19,0.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Social work/volunteer,20 - 24,0.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Social work/volunteer,25 - 29,0.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Social work/volunteer,30 - 34,0.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Social work/volunteer,35 - 39,5.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Social work/volunteer,40 - 44,0.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Social work/volunteer,45 - 49,0.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Other,Total No. of children born alive in last 12 months,514.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Other,15 - 19,16.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Other,20 - 24,64.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Other,25 - 29,92.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Other,30 - 34,71.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Other,35 - 39,123.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Other,40 - 44,69.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Other,45 - 49,79.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Not Stated,Total No. of children born alive in last 12 months,4.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Not Stated,15 - 19,0.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Not Stated,20 - 24,2.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Not Stated,25 - 29,0.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Not Stated,30 - 34,0.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Not Stated,35 - 39,2.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Not Stated,40 - 44,0.0
LUMBINI,Rukum (East),Sisne Gaunpalika,,Not Stated,45 - 49,0.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Total,Total No. of children born alive in last 12 months,3438.0
