province,district,palika,sex,breakdown,sector,value,district_code,province_code,palika_code
BAGMATI,Dolakha,,,Social work/volunteer,25 - 29,8.0,301,3,
BAGMATI,Dolakha,,,Social work/volunteer,30 - 34,5.0,301,3,
BAGMATI,Dolakha,,,Social work/volunteer,35 - 39,21.0,301,3,
BAGMATI,Dolakha,,,Social work/volunteer,40 - 44,8.0,301,3,
BAGMATI,Dolakha,,,Social work/volunteer,45 - 49,28.0,301,3,
BAGMATI,Dolakha,,,Other,Total No. of children born alive in last 12 months,2476.0,301,3,
BAGMATI,Dolakha,,,Other,15 - 19,37.0,301,3,
BAGMATI,Dolakha,,,Other,20 - 24,236.0,301,3,
BAGMATI,Dolakha,,,Other,25 - 29,381.0,301,3,
BAGMATI,Dolakha,,,Other,30 - 34,497.0,301,3,
BAGMATI,Dolakha,,,Other,35 - 39,405.0,301,3,
BAGMATI,Dolakha,,,Other,40 - 44,450.0,301,3,
BAGMATI,Dolakha,,,Other,45 - 49,470.0,301,3,
BAGMATI,Dolakha,,,Not Stated,Total No. of children born alive in last 12 months,54.0,301,3,
BAGMATI,Dolakha,,,Not Stated,15 - 19,0.0,301,3,
BAGMATI,Dolakha,,,Not Stated,20 - 24,2.0,301,3,
BAGMATI,Dolakha,,,Not Stated,25 - 29,12.0,301,3,
BAGMATI,Dolakha,,,Not Stated,30 - 34,4.0,301,3,
BAGMATI,Dolakha,,,Not Stated,35 - 39,6.0,301,3,
BAGMATI,Dolakha,,,Not Stated,40 - 44,15.0,301,3,
BAGMATI,Dolakha,,,Not Stated,45 - 49,15.0,301,3,
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Total,Total No. of children born alive in last 12 months,1682.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Total,15 - 19,15.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Total,20 - 24,124.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Total,25 - 29,248.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Total,30 - 34,263.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Total,35 - 39,273.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Total,40 - 44,354.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Total,45 - 49,405.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Student,Total No. of children born alive in last 12 months,1.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Student,15 - 19,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Student,20 - 24,1.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Student,25 - 29,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Student,30 - 34,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Student,35 - 39,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Student,40 - 44,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Student,45 - 49,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Household chores,Total No. of children born alive in last 12 months,1131.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Household chores,15 - 19,9.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Household chores,20 - 24,68.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Household chores,25 - 29,136.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Household chores,30 - 34,177.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Household chores,35 - 39,200.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Household chores,40 - 44,251.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Household chores,45 - 49,290.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Family care,Total No. of children born alive in last 12 months,297.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Family care,15 - 19,4.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Family care,20 - 24,37.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Family care,25 - 29,74.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Family care,30 - 34,49.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Family care,35 - 39,51.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Family care,40 - 44,49.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Family care,45 - 49,33.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Disable/sickness,Total No. of children born alive in last 12 months,37.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Disable/sickness,15 - 19,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Disable/sickness,20 - 24,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Disable/sickness,25 - 29,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Disable/sickness,30 - 34,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Disable/sickness,35 - 39,4.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Disable/sickness,40 - 44,13.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Disable/sickness,45 - 49,20.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Penson / income,Total No. of children born alive in last 12 months,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Penson / income,15 - 19,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Penson / income,20 - 24,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Penson / income,25 - 29,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Penson / income,30 - 34,0.0,301,3,30104
