Area (level 1),Area (level 2),Area (level 3),Age group in years,Indicator,Value
KOSHI,Ilam,Fakfokathum Gaunpalika,35-39 Yrs.,Population - Female,658
KOSHI,Ilam,Fakfokathum Gaunpalika,40-44 Yrs.,Population - Total,1175
KOSHI,Ilam,Fakfokathum Gaunpalika,40-44 Yrs.,Population - Male,573
KOSHI,Ilam,Fakfokathum Gaunpalika,40-44 Yrs.,Population - Female,602
KOSHI,Ilam,Fakfokathum Gaunpalika,45-49 Yrs.,Population - Total,1054
KOSHI,Ilam,Fakfokathum Gaunpalika,45-49 Yrs.,Population - Male,499
KOSHI,Ilam,Fakfokathum Gaunpalika,45-49 Yrs.,Population - Female,555
KOSHI,Ilam,Fakfokathum Gaunpalika,50-54 Yrs.,Population - Total,1192
KOSHI,Ilam,Fakfokathum Gaunpalika,50-54 Yrs.,Population - Male,562
KOSHI,Ilam,Fakfokathum Gaunpalika,50-54 Yrs.,Population - Female,630
KOSHI,Ilam,Fakfokathum Gaunpalika,55-59 Yrs.,Population - Total,989
KOSHI,Ilam,Fakfokathum Gaunpalika,55-59 Yrs.,Population - Male,492
KOSHI,Ilam,Fakfokathum Gaunpalika,55-59 Yrs.,Population - Female,497
KOSHI,Ilam,Fakfokathum Gaunpalika,60-64 Yrs.,Population - Total,875
KOSHI,Ilam,Fakfokathum Gaunpalika,60-64 Yrs.,Population - Male,451
KOSHI,Ilam,Fakfokathum Gaunpalika,60-64 Yrs.,Population - Female,424
KOSHI,Ilam,Fakfokathum Gaunpalika,65-69 Yrs.,Population - Total,657
KOSHI,Ilam,Fakfokathum Gaunpalika,65-69 Yrs.,Population - Male,312
KOSHI,Ilam,Fakfokathum Gaunpalika,65-69 Yrs.,Population - Female,345
KOSHI,Ilam,Fakfokathum Gaunpalika,70-74 Yrs.,Population - Total,445
KOSHI,Ilam,Fakfokathum Gaunpalika,70-74 Yrs.,Population - Male,242
KOSHI,Ilam,Fakfokathum Gaunpalika,70-74 Yrs.,Population - Female,203
KOSHI,Ilam,Fakfokathum Gaunpalika,75-79 Yrs.,Population - Total,308
KOSHI,Ilam,Fakfokathum Gaunpalika,75-79 Yrs.,Population - Male,152
KOSHI,Ilam,Fakfokathum Gaunpalika,75-79 Yrs.,Population - Female,156
KOSHI,Ilam,Fakfokathum Gaunpalika,80-84 Yrs.,Population - Total,155
KOSHI,Ilam,Fakfokathum Gaunpalika,80-84 Yrs.,Population - Male,101
KOSHI,Ilam,Fakfokathum Gaunpalika,80-84 Yrs.,Population - Female,54
KOSHI,Ilam,Fakfokathum Gaunpalika,85-89 Yrs.,Population - Total,71
KOSHI,Ilam,Fakfokathum Gaunpalika,85-89 Yrs.,Population - Male,32
KOSHI,Ilam,Fakfokathum Gaunpalika,85-89 Yrs.,Population - Female,39
KOSHI,Ilam,Fakfokathum Gaunpalika,90-94 Yrs.,Population - Total,24
KOSHI,Ilam,Fakfokathum Gaunpalika,90-94 Yrs.,Population - Male,14
KOSHI,Ilam,Fakfokathum Gaunpalika,90-94 Yrs.,Population - Female,10
KOSHI,Ilam,Fakfokathum Gaunpalika,95+ Yrs.,Population - Total,9
KOSHI,Ilam,Fakfokathum Gaunpalika,95+ Yrs.,Population - Male,7
KOSHI,Ilam,Fakfokathum Gaunpalika,95+ Yrs.,Population - Female,2
KOSHI,Ilam,Mangsebung Gaunpalika,All Ages,Population - Total,16810
KOSHI,Ilam,Mangsebung Gaunpalika,All Ages,Population - Male,8477
KOSHI,Ilam,Mangsebung Gaunpalika,All Ages,Population - Female,8333
KOSHI,Ilam,Mangsebung Gaunpalika,00-04 Yrs.,Population - Total,1167
KOSHI,Ilam,Mangsebung Gaunpalika,00-04 Yrs.,Population - Male,557
KOSHI,Ilam,Mangsebung Gaunpalika,00-04 Yrs.,Population - Female,610
KOSHI,Ilam,Mangsebung Gaunpalika,05-09 Yrs.,Population - Total,1253
KOSHI,Ilam,Mangsebung Gaunpalika,05-09 Yrs.,Population - Male,642
KOSHI,Ilam,Mangsebung Gaunpalika,05-09 Yrs.,Population - Female,611
KOSHI,Ilam,Mangsebung Gaunpalika,10-14 Yrs.,Population - Total,1366
KOSHI,Ilam,Mangsebung Gaunpalika,10-14 Yrs.,Population - Male,670
KOSHI,Ilam,Mangsebung Gaunpalika,10-14 Yrs.,Population - Female,696
KOSHI,Ilam,Mangsebung Gaunpalika,15-19 Yrs.,Population - Total,1792
KOSHI,Ilam,Mangsebung Gaunpalika,15-19 Yrs.,Population - Male,916
KOSHI,Ilam,Mangsebung Gaunpalika,15-19 Yrs.,Population - Female,876
KOSHI,Ilam,Mangsebung Gaunpalika,20-24 Yrs.,Population - Total,1829
KOSHI,Ilam,Mangsebung Gaunpalika,20-24 Yrs.,Population - Male,946
KOSHI,Ilam,Mangsebung Gaunpalika,20-24 Yrs.,Population - Female,883
KOSHI,Ilam,Mangsebung Gaunpalika,25-29 Yrs.,Population - Total,1489
KOSHI,Ilam,Mangsebung Gaunpalika,25-29 Yrs.,Population - Male,755
KOSHI,Ilam,Mangsebung Gaunpalika,25-29 Yrs.,Population - Female,734
KOSHI,Ilam,Mangsebung Gaunpalika,30-34 Yrs.,Population - Total,1168
KOSHI,Ilam,Mangsebung Gaunpalika,30-34 Yrs.,Population - Male,619
KOSHI,Ilam,Mangsebung Gaunpalika,30-34 Yrs.,Population - Female,549
KOSHI,Ilam,Mangsebung Gaunpalika,35-39 Yrs.,Population - Total,1053
KOSHI,Ilam,Mangsebung Gaunpalika,35-39 Yrs.,Population - Male,514
KOSHI,Ilam,Mangsebung Gaunpalika,35-39 Yrs.,Population - Female,539
KOSHI,Ilam,Mangsebung Gaunpalika,40-44 Yrs.,Population - Total,982
KOSHI,Ilam,Mangsebung Gaunpalika,40-44 Yrs.,Population - Male,481
KOSHI,Ilam,Mangsebung Gaunpalika,40-44 Yrs.,Population - Female,501
KOSHI,Ilam,Mangsebung Gaunpalika,45-49 Yrs.,Population - Total,822
KOSHI,Ilam,Mangsebung Gaunpalika,45-49 Yrs.,Population - Male,394
KOSHI,Ilam,Mangsebung Gaunpalika,45-49 Yrs.,Population - Female,428
KOSHI,Ilam,Mangsebung Gaunpalika,50-54 Yrs.,Population - Total,1010
KOSHI,Ilam,Mangsebung Gaunpalika,50-54 Yrs.,Population - Male,484
KOSHI,Ilam,Mangsebung Gaunpalika,50-54 Yrs.,Population - Female,526
KOSHI,Ilam,Mangsebung Gaunpalika,55-59 Yrs.,Population - Total,743
KOSHI,Ilam,Mangsebung Gaunpalika,55-59 Yrs.,Population - Male,386
KOSHI,Ilam,Mangsebung Gaunpalika,55-59 Yrs.,Population - Female,357
KOSHI,Ilam,Mangsebung Gaunpalika,60-64 Yrs.,Population - Total,672
KOSHI,Ilam,Mangsebung Gaunpalika,60-64 Yrs.,Population - Male,360
KOSHI,Ilam,Mangsebung Gaunpalika,60-64 Yrs.,Population - Female,312
KOSHI,Ilam,Mangsebung Gaunpalika,65-69 Yrs.,Population - Total,578
KOSHI,Ilam,Mangsebung Gaunpalika,65-69 Yrs.,Population - Male,292
KOSHI,Ilam,Mangsebung Gaunpalika,65-69 Yrs.,Population - Female,286
KOSHI,Ilam,Mangsebung Gaunpalika,70-74 Yrs.,Population - Total,411
KOSHI,Ilam,Mangsebung Gaunpalika,70-74 Yrs.,Population - Male,215
KOSHI,Ilam,Mangsebung Gaunpalika,70-74 Yrs.,Population - Female,196
KOSHI,Ilam,Mangsebung Gaunpalika,75-79 Yrs.,Population - Total,258
KOSHI,Ilam,Mangsebung Gaunpalika,75-79 Yrs.,Population - Male,126
KOSHI,Ilam,Mangsebung Gaunpalika,75-79 Yrs.,Population - Female,132
KOSHI,Ilam,Mangsebung Gaunpalika,80-84 Yrs.,Population - Total,137
KOSHI,Ilam,Mangsebung Gaunpalika,80-84 Yrs.,Population - Male,82
KOSHI,Ilam,Mangsebung Gaunpalika,80-84 Yrs.,Population - Female,55
KOSHI,Ilam,Mangsebung Gaunpalika,85-89 Yrs.,Population - Total,63
KOSHI,Ilam,Mangsebung Gaunpalika,85-89 Yrs.,Population - Male,31
KOSHI,Ilam,Mangsebung Gaunpalika,85-89 Yrs.,Population - Female,32
KOSHI,Ilam,Mangsebung Gaunpalika,90-94 Yrs.,Population - Total,14
KOSHI,Ilam,Mangsebung Gaunpalika,90-94 Yrs.,Population - Male,6
KOSHI,Ilam,Mangsebung Gaunpalika,90-94 Yrs.,Population - Female,8
KOSHI,Ilam,Mangsebung Gaunpalika,95+ Yrs.,Population - Total,3
KOSHI,Ilam,Mangsebung Gaunpalika,95+ Yrs.,Population - Male,1
KOSHI,Ilam,Mangsebung Gaunpalika,95+ Yrs.,Population - Female,2
KOSHI,Ilam,Chulachuli Gaunpalika,All Ages,Population - Total,23157
KOSHI,Ilam,Chulachuli Gaunpalika,All Ages,Population - Male,11334
KOSHI,Ilam,Chulachuli Gaunpalika,All Ages,Population - Female,11823
KOSHI,Ilam,Chulachuli Gaunpalika,00-04 Yrs.,Population - Total,1681
KOSHI,Ilam,Chulachuli Gaunpalika,00-04 Yrs.,Population - Male,856
KOSHI,Ilam,Chulachuli Gaunpalika,00-04 Yrs.,Population - Female,825
KOSHI,Ilam,Chulachuli Gaunpalika,05-09 Yrs.,Population - Total,2126
KOSHI,Ilam,Chulachuli Gaunpalika,05-09 Yrs.,Population - Male,1121
KOSHI,Ilam,Chulachuli Gaunpalika,05-09 Yrs.,Population - Female,1005
KOSHI,Ilam,Chulachuli Gaunpalika,10-14 Yrs.,Population - Total,1946
KOSHI,Ilam,Chulachuli Gaunpalika,10-14 Yrs.,Population - Male,1000
KOSHI,Ilam,Chulachuli Gaunpalika,10-14 Yrs.,Population - Female,946
KOSHI,Ilam,Chulachuli Gaunpalika,15-19 Yrs.,Population - Total,2158
KOSHI,Ilam,Chulachuli Gaunpalika,15-19 Yrs.,Population - Male,1086
KOSHI,Ilam,Chulachuli Gaunpalika,15-19 Yrs.,Population - Female,1072
KOSHI,Ilam,Chulachuli Gaunpalika,20-24 Yrs.,Population - Total,2058
KOSHI,Ilam,Chulachuli Gaunpalika,20-24 Yrs.,Population - Male,941
KOSHI,Ilam,Chulachuli Gaunpalika,20-24 Yrs.,Population - Female,1117
KOSHI,Ilam,Chulachuli Gaunpalika,25-29 Yrs.,Population - Total,2042
KOSHI,Ilam,Chulachuli Gaunpalika,25-29 Yrs.,Population - Male,891
KOSHI,Ilam,Chulachuli Gaunpalika,25-29 Yrs.,Population - Female,1151
KOSHI,Ilam,Chulachuli Gaunpalika,30-34 Yrs.,Population - Total,2038
KOSHI,Ilam,Chulachuli Gaunpalika,30-34 Yrs.,Population - Male,1005
KOSHI,Ilam,Chulachuli Gaunpalika,30-34 Yrs.,Population - Female,1033
KOSHI,Ilam,Chulachuli Gaunpalika,35-39 Yrs.,Population - Total,1701
KOSHI,Ilam,Chulachuli Gaunpalika,35-39 Yrs.,Population - Male,826
KOSHI,Ilam,Chulachuli Gaunpalika,35-39 Yrs.,Population - Female,875
KOSHI,Ilam,Chulachuli Gaunpalika,40-44 Yrs.,Population - Total,1443
KOSHI,Ilam,Chulachuli Gaunpalika,40-44 Yrs.,Population - Male,679
KOSHI,Ilam,Chulachuli Gaunpalika,40-44 Yrs.,Population - Female,764
KOSHI,Ilam,Chulachuli Gaunpalika,45-49 Yrs.,Population - Total,1016
KOSHI,Ilam,Chulachuli Gaunpalika,45-49 Yrs.,Population - Male,480
KOSHI,Ilam,Chulachuli Gaunpalika,45-49 Yrs.,Population - Female,536
KOSHI,Ilam,Chulachuli Gaunpalika,50-54 Yrs.,Population - Total,1179
KOSHI,Ilam,Chulachuli Gaunpalika,50-54 Yrs.,Population - Male,589
KOSHI,Ilam,Chulachuli Gaunpalika,50-54 Yrs.,Population - Female,590
KOSHI,Ilam,Chulachuli Gaunpalika,55-59 Yrs.,Population - Total,1024
KOSHI,Ilam,Chulachuli Gaunpalika,55-59 Yrs.,Population - Male,476
KOSHI,Ilam,Chulachuli Gaunpalika,55-59 Yrs.,Population - Female,548
KOSHI,Ilam,Chulachuli Gaunpalika,60-64 Yrs.,Population - Total,908
KOSHI,Ilam,Chulachuli Gaunpalika,60-64 Yrs.,Population - Male,474
KOSHI,Ilam,Chulachuli Gaunpalika,60-64 Yrs.,Population - Female,434
KOSHI,Ilam,Chulachuli Gaunpalika,65-69 Yrs.,Population - Total,701
KOSHI,Ilam,Chulachuli Gaunpalika,65-69 Yrs.,Population - Male,339
KOSHI,Ilam,Chulachuli Gaunpalika,65-69 Yrs.,Population - Female,362
KOSHI,Ilam,Chulachuli Gaunpalika,70-74 Yrs.,Population - Total,496
KOSHI,Ilam,Chulachuli Gaunpalika,70-74 Yrs.,Population - Male,256
KOSHI,Ilam,Chulachuli Gaunpalika,70-74 Yrs.,Population - Female,240
KOSHI,Ilam,Chulachuli Gaunpalika,75-79 Yrs.,Population - Total,317
KOSHI,Ilam,Chulachuli Gaunpalika,75-79 Yrs.,Population - Male,157
KOSHI,Ilam,Chulachuli Gaunpalika,75-79 Yrs.,Population - Female,160
KOSHI,Ilam,Chulachuli Gaunpalika,80-84 Yrs.,Population - Total,192
KOSHI,Ilam,Chulachuli Gaunpalika,80-84 Yrs.,Population - Male,97
KOSHI,Ilam,Chulachuli Gaunpalika,80-84 Yrs.,Population - Female,95
KOSHI,Ilam,Chulachuli Gaunpalika,85-89 Yrs.,Population - Total,96
KOSHI,Ilam,Chulachuli Gaunpalika,85-89 Yrs.,Population - Male,45
KOSHI,Ilam,Chulachuli Gaunpalika,85-89 Yrs.,Population - Female,51
KOSHI,Ilam,Chulachuli Gaunpalika,90-94 Yrs.,Population - Total,24
KOSHI,Ilam,Chulachuli Gaunpalika,90-94 Yrs.,Population - Male,11
KOSHI,Ilam,Chulachuli Gaunpalika,90-94 Yrs.,Population - Female,13
KOSHI,Ilam,Chulachuli Gaunpalika,95+ Yrs.,Population - Total,11
KOSHI,Ilam,Chulachuli Gaunpalika,95+ Yrs.,Population - Male,5
KOSHI,Ilam,Chulachuli Gaunpalika,95+ Yrs.,Population - Female,6
KOSHI,Ilam,Mai Municipality,All Ages,Population - Total,30732
KOSHI,Ilam,Mai Municipality,All Ages,Population - Male,15130
KOSHI,Ilam,Mai Municipality,All Ages,Population - Female,15602
KOSHI,Ilam,Mai Municipality,00-04 Yrs.,Population - Total,2396
KOSHI,Ilam,Mai Municipality,00-04 Yrs.,Population - Male,1214
KOSHI,Ilam,Mai Municipality,00-04 Yrs.,Population - Female,1182
KOSHI,Ilam,Mai Municipality,05-09 Yrs.,Population - Total,2671
KOSHI,Ilam,Mai Municipality,05-09 Yrs.,Population - Male,1343
KOSHI,Ilam,Mai Municipality,05-09 Yrs.,Population - Female,1328
KOSHI,Ilam,Mai Municipality,10-14 Yrs.,Population - Total,2606
KOSHI,Ilam,Mai Municipality,10-14 Yrs.,Population - Male,1349
KOSHI,Ilam,Mai Municipality,10-14 Yrs.,Population - Female,1257
KOSHI,Ilam,Mai Municipality,15-19 Yrs.,Population - Total,3188
KOSHI,Ilam,Mai Municipality,15-19 Yrs.,Population - Male,1574
KOSHI,Ilam,Mai Municipality,15-19 Yrs.,Population - Female,1614
KOSHI,Ilam,Mai Municipality,20-24 Yrs.,Population - Total,2735
KOSHI,Ilam,Mai Municipality,20-24 Yrs.,Population - Male,1304
KOSHI,Ilam,Mai Municipality,20-24 Yrs.,Population - Female,1431
KOSHI,Ilam,Mai Municipality,25-29 Yrs.,Population - Total,2671
KOSHI,Ilam,Mai Municipality,25-29 Yrs.,Population - Male,1261
KOSHI,Ilam,Mai Municipality,25-29 Yrs.,Population - Female,1410
KOSHI,Ilam,Mai Municipality,30-34 Yrs.,Population - Total,2325
KOSHI,Ilam,Mai Municipality,30-34 Yrs.,Population - Male,1141
KOSHI,Ilam,Mai Municipality,30-34 Yrs.,Population - Female,1184
KOSHI,Ilam,Mai Municipality,35-39 Yrs.,Population - Total,2125
KOSHI,Ilam,Mai Municipality,35-39 Yrs.,Population - Male,1012
KOSHI,Ilam,Mai Municipality,35-39 Yrs.,Population - Female,1113
KOSHI,Ilam,Mai Municipality,40-44 Yrs.,Population - Total,1808
KOSHI,Ilam,Mai Municipality,40-44 Yrs.,Population - Male,859
KOSHI,Ilam,Mai Municipality,40-44 Yrs.,Population - Female,949
KOSHI,Ilam,Mai Municipality,45-49 Yrs.,Population - Total,1547
KOSHI,Ilam,Mai Municipality,45-49 Yrs.,Population - Male,744
KOSHI,Ilam,Mai Municipality,45-49 Yrs.,Population - Female,803
KOSHI,Ilam,Mai Municipality,50-54 Yrs.,Population - Total,1598
KOSHI,Ilam,Mai Municipality,50-54 Yrs.,Population - Male,761
KOSHI,Ilam,Mai Municipality,50-54 Yrs.,Population - Female,837
KOSHI,Ilam,Mai Municipality,55-59 Yrs.,Population - Total,1410
KOSHI,Ilam,Mai Municipality,55-59 Yrs.,Population - Male,678
KOSHI,Ilam,Mai Municipality,55-59 Yrs.,Population - Female,732
KOSHI,Ilam,Mai Municipality,60-64 Yrs.,Population - Total,1300
KOSHI,Ilam,Mai Municipality,60-64 Yrs.,Population - Male,660
KOSHI,Ilam,Mai Municipality,60-64 Yrs.,Population - Female,640
KOSHI,Ilam,Mai Municipality,65-69 Yrs.,Population - Total,1017
KOSHI,Ilam,Mai Municipality,65-69 Yrs.,Population - Male,524
KOSHI,Ilam,Mai Municipality,65-69 Yrs.,Population - Female,493
KOSHI,Ilam,Mai Municipality,70-74 Yrs.,Population - Total,626
KOSHI,Ilam,Mai Municipality,70-74 Yrs.,Population - Male,315
KOSHI,Ilam,Mai Municipality,70-74 Yrs.,Population - Female,311
KOSHI,Ilam,Mai Municipality,75-79 Yrs.,Population - Total,422
KOSHI,Ilam,Mai Municipality,75-79 Yrs.,Population - Male,229
KOSHI,Ilam,Mai Municipality,75-79 Yrs.,Population - Female,193
KOSHI,Ilam,Mai Municipality,80-84 Yrs.,Population - Total,169
KOSHI,Ilam,Mai Municipality,80-84 Yrs.,Population - Male,107
KOSHI,Ilam,Mai Municipality,80-84 Yrs.,Population - Female,62
KOSHI,Ilam,Mai Municipality,85-89 Yrs.,Population - Total,96
KOSHI,Ilam,Mai Municipality,85-89 Yrs.,Population - Male,46
KOSHI,Ilam,Mai Municipality,85-89 Yrs.,Population - Female,50
KOSHI,Ilam,Mai Municipality,90-94 Yrs.,Population - Total,14
KOSHI,Ilam,Mai Municipality,90-94 Yrs.,Population - Male,8
KOSHI,Ilam,Mai Municipality,90-94 Yrs.,Population - Female,6
KOSHI,Ilam,Mai Municipality,95+ Yrs.,Population - Total,8
KOSHI,Ilam,Mai Municipality,95+ Yrs.,Population - Male,1
KOSHI,Ilam,Mai Municipality,95+ Yrs.,Population - Female,7
KOSHI,Ilam,Suryodaya Municipality,All Ages,Population - Total,54727
KOSHI,Ilam,Suryodaya Municipality,All Ages,Population - Male,27382
KOSHI,Ilam,Suryodaya Municipality,All Ages,Population - Female,27345
KOSHI,Ilam,Suryodaya Municipality,00-04 Yrs.,Population - Total,3015
KOSHI,Ilam,Suryodaya Municipality,00-04 Yrs.,Population - Male,1547
KOSHI,Ilam,Suryodaya Municipality,00-04 Yrs.,Population - Female,1468
KOSHI,Ilam,Suryodaya Municipality,05-09 Yrs.,Population - Total,3678
KOSHI,Ilam,Suryodaya Municipality,05-09 Yrs.,Population - Male,1909
KOSHI,Ilam,Suryodaya Municipality,05-09 Yrs.,Population - Female,1769
KOSHI,Ilam,Suryodaya Municipality,10-14 Yrs.,Population - Total,3713
KOSHI,Ilam,Suryodaya Municipality,10-14 Yrs.,Population - Male,1895
KOSHI,Ilam,Suryodaya Municipality,10-14 Yrs.,Population - Female,1818
KOSHI,Ilam,Suryodaya Municipality,15-19 Yrs.,Population - Total,4633
KOSHI,Ilam,Suryodaya Municipality,15-19 Yrs.,Population - Male,2329
KOSHI,Ilam,Suryodaya Municipality,15-19 Yrs.,Population - Female,2304
KOSHI,Ilam,Suryodaya Municipality,20-24 Yrs.,Population - Total,4591
KOSHI,Ilam,Suryodaya Municipality,20-24 Yrs.,Population - Male,2230
KOSHI,Ilam,Suryodaya Municipality,20-24 Yrs.,Population - Female,2361
KOSHI,Ilam,Suryodaya Municipality,25-29 Yrs.,Population - Total,4857
KOSHI,Ilam,Suryodaya Municipality,25-29 Yrs.,Population - Male,2285
KOSHI,Ilam,Suryodaya Municipality,25-29 Yrs.,Population - Female,2572
KOSHI,Ilam,Suryodaya Municipality,30-34 Yrs.,Population - Total,4438
KOSHI,Ilam,Suryodaya Municipality,30-34 Yrs.,Population - Male,2197
KOSHI,Ilam,Suryodaya Municipality,30-34 Yrs.,Population - Female,2241
KOSHI,Ilam,Suryodaya Municipality,35-39 Yrs.,Population - Total,4516
KOSHI,Ilam,Suryodaya Municipality,35-39 Yrs.,Population - Male,2211
KOSHI,Ilam,Suryodaya Municipality,35-39 Yrs.,Population - Female,2305
KOSHI,Ilam,Suryodaya Municipality,40-44 Yrs.,Population - Total,4108
KOSHI,Ilam,Suryodaya Municipality,40-44 Yrs.,Population - Male,1916
KOSHI,Ilam,Suryodaya Municipality,40-44 Yrs.,Population - Female,2192
KOSHI,Ilam,Suryodaya Municipality,45-49 Yrs.,Population - Total,3284
KOSHI,Ilam,Suryodaya Municipality,45-49 Yrs.,Population - Male,1610
KOSHI,Ilam,Suryodaya Municipality,45-49 Yrs.,Population - Female,1674
KOSHI,Ilam,Suryodaya Municipality,50-54 Yrs.,Population - Total,3537
KOSHI,Ilam,Suryodaya Municipality,50-54 Yrs.,Population - Male,1780
KOSHI,Ilam,Suryodaya Municipality,50-54 Yrs.,Population - Female,1757
KOSHI,Ilam,Suryodaya Municipality,55-59 Yrs.,Population - Total,2917
KOSHI,Ilam,Suryodaya Municipality,55-59 Yrs.,Population - Male,1495
KOSHI,Ilam,Suryodaya Municipality,55-59 Yrs.,Population - Female,1422
KOSHI,Ilam,Suryodaya Municipality,60-64 Yrs.,Population - Total,2505
KOSHI,Ilam,Suryodaya Municipality,60-64 Yrs.,Population - Male,1306
KOSHI,Ilam,Suryodaya Municipality,60-64 Yrs.,Population - Female,1199
KOSHI,Ilam,Suryodaya Municipality,65-69 Yrs.,Population - Total,2034
KOSHI,Ilam,Suryodaya Municipality,65-69 Yrs.,Population - Male,1063
KOSHI,Ilam,Suryodaya Municipality,65-69 Yrs.,Population - Female,971
KOSHI,Ilam,Suryodaya Municipality,70-74 Yrs.,Population - Total,1357
KOSHI,Ilam,Suryodaya Municipality,70-74 Yrs.,Population - Male,727
KOSHI,Ilam,Suryodaya Municipality,70-74 Yrs.,Population - Female,630
KOSHI,Ilam,Suryodaya Municipality,75-79 Yrs.,Population - Total,817
KOSHI,Ilam,Suryodaya Municipality,75-79 Yrs.,Population - Male,461
KOSHI,Ilam,Suryodaya Municipality,75-79 Yrs.,Population - Female,356
KOSHI,Ilam,Suryodaya Municipality,80-84 Yrs.,Population - Total,435
KOSHI,Ilam,Suryodaya Municipality,80-84 Yrs.,Population - Male,246
KOSHI,Ilam,Suryodaya Municipality,80-84 Yrs.,Population - Female,189
KOSHI,Ilam,Suryodaya Municipality,85-89 Yrs.,Population - Total,210
KOSHI,Ilam,Suryodaya Municipality,85-89 Yrs.,Population - Male,121
KOSHI,Ilam,Suryodaya Municipality,85-89 Yrs.,Population - Female,89
KOSHI,Ilam,Suryodaya Municipality,90-94 Yrs.,Population - Total,67
KOSHI,Ilam,Suryodaya Municipality,90-94 Yrs.,Population - Male,45
KOSHI,Ilam,Suryodaya Municipality,90-94 Yrs.,Population - Female,22
KOSHI,Ilam,Suryodaya Municipality,95+ Yrs.,Population - Total,15
KOSHI,Ilam,Suryodaya Municipality,95+ Yrs.,Population - Male,9
KOSHI,Ilam,Suryodaya Municipality,95+ Yrs.,Population - Female,6
KOSHI,Ilam,Rong Gaunpalika,All Ages,Population - Total,17367
KOSHI,Ilam,Rong Gaunpalika,All Ages,Population - Male,8690
KOSHI,Ilam,Rong Gaunpalika,All Ages,Population - Female,8677
KOSHI,Ilam,Rong Gaunpalika,00-04 Yrs.,Population - Total,1149
KOSHI,Ilam,Rong Gaunpalika,00-04 Yrs.,Population - Male,593
KOSHI,Ilam,Rong Gaunpalika,00-04 Yrs.,Population - Female,556
KOSHI,Ilam,Rong Gaunpalika,05-09 Yrs.,Population - Total,1213
KOSHI,Ilam,Rong Gaunpalika,05-09 Yrs.,Population - Male,622
KOSHI,Ilam,Rong Gaunpalika,05-09 Yrs.,Population - Female,591
KOSHI,Ilam,Rong Gaunpalika,10-14 Yrs.,Population - Total,1189
KOSHI,Ilam,Rong Gaunpalika,10-14 Yrs.,Population - Male,598
KOSHI,Ilam,Rong Gaunpalika,10-14 Yrs.,Population - Female,591
KOSHI,Ilam,Rong Gaunpalika,15-19 Yrs.,Population - Total,1519
KOSHI,Ilam,Rong Gaunpalika,15-19 Yrs.,Population - Male,727
KOSHI,Ilam,Rong Gaunpalika,15-19 Yrs.,Population - Female,792
KOSHI,Ilam,Rong Gaunpalika,20-24 Yrs.,Population - Total,1611
KOSHI,Ilam,Rong Gaunpalika,20-24 Yrs.,Population - Male,765
KOSHI,Ilam,Rong Gaunpalika,20-24 Yrs.,Population - Female,846
KOSHI,Ilam,Rong Gaunpalika,25-29 Yrs.,Population - Total,1535
KOSHI,Ilam,Rong Gaunpalika,25-29 Yrs.,Population - Male,768
KOSHI,Ilam,Rong Gaunpalika,25-29 Yrs.,Population - Female,767
KOSHI,Ilam,Rong Gaunpalika,30-34 Yrs.,Population - Total,1345
KOSHI,Ilam,Rong Gaunpalika,30-34 Yrs.,Population - Male,678
KOSHI,Ilam,Rong Gaunpalika,30-34 Yrs.,Population - Female,667
KOSHI,Ilam,Rong Gaunpalika,35-39 Yrs.,Population - Total,1243
KOSHI,Ilam,Rong Gaunpalika,35-39 Yrs.,Population - Male,628
KOSHI,Ilam,Rong Gaunpalika,35-39 Yrs.,Population - Female,615
KOSHI,Ilam,Rong Gaunpalika,40-44 Yrs.,Population - Total,1225
KOSHI,Ilam,Rong Gaunpalika,40-44 Yrs.,Population - Male,561
KOSHI,Ilam,Rong Gaunpalika,40-44 Yrs.,Population - Female,664
KOSHI,Ilam,Rong Gaunpalika,45-49 Yrs.,Population - Total,1020
KOSHI,Ilam,Rong Gaunpalika,45-49 Yrs.,Population - Male,500
KOSHI,Ilam,Rong Gaunpalika,45-49 Yrs.,Population - Female,520
KOSHI,Ilam,Rong Gaunpalika,50-54 Yrs.,Population - Total,1158
KOSHI,Ilam,Rong Gaunpalika,50-54 Yrs.,Population - Male,581
KOSHI,Ilam,Rong Gaunpalika,50-54 Yrs.,Population - Female,577
KOSHI,Ilam,Rong Gaunpalika,55-59 Yrs.,Population - Total,875
KOSHI,Ilam,Rong Gaunpalika,55-59 Yrs.,Population - Male,433
KOSHI,Ilam,Rong Gaunpalika,55-59 Yrs.,Population - Female,442
KOSHI,Ilam,Rong Gaunpalika,60-64 Yrs.,Population - Total,755
KOSHI,Ilam,Rong Gaunpalika,60-64 Yrs.,Population - Male,412
KOSHI,Ilam,Rong Gaunpalika,60-64 Yrs.,Population - Female,343
KOSHI,Ilam,Rong Gaunpalika,65-69 Yrs.,Population - Total,607
KOSHI,Ilam,Rong Gaunpalika,65-69 Yrs.,Population - Male,319
KOSHI,Ilam,Rong Gaunpalika,65-69 Yrs.,Population - Female,288
KOSHI,Ilam,Rong Gaunpalika,70-74 Yrs.,Population - Total,431
KOSHI,Ilam,Rong Gaunpalika,70-74 Yrs.,Population - Male,246
KOSHI,Ilam,Rong Gaunpalika,70-74 Yrs.,Population - Female,185
KOSHI,Ilam,Rong Gaunpalika,75-79 Yrs.,Population - Total,280
KOSHI,Ilam,Rong Gaunpalika,75-79 Yrs.,Population - Male,153
