Area (level 1),Area (level 2),Area (level 3),Age group in years,Indicator,Value
KOSHI,Taplejung,Phaktanlung Gaunpalika,10-14 Yrs.,Population - Male,574
KOSHI,Taplejung,Phaktanlung Gaunpalika,10-14 Yrs.,Population - Female,584
KOSHI,Taplejung,Phaktanlung Gaunpalika,15-19 Yrs.,Population - Total,1305
KOSHI,Taplejung,Phaktanlung Gaunpalika,15-19 Yrs.,Population - Male,640
KOSHI,Taplejung,Phaktanlung Gaunpalika,15-19 Yrs.,Population - Female,665
KOSHI,Taplejung,Phaktanlung Gaunpalika,20-24 Yrs.,Population - Total,1212
KOSHI,Taplejung,Phaktanlung Gaunpalika,20-24 Yrs.,Population - Male,626
KOSHI,Taplejung,Phaktanlung Gaunpalika,20-24 Yrs.,Population - Female,586
KOSHI,Taplejung,Phaktanlung Gaunpalika,25-29 Yrs.,Population - Total,1028
KOSHI,Taplejung,Phaktanlung Gaunpalika,25-29 Yrs.,Population - Male,562
KOSHI,Taplejung,Phaktanlung Gaunpalika,25-29 Yrs.,Population - Female,466
KOSHI,Taplejung,Phaktanlung Gaunpalika,30-34 Yrs.,Population - Total,799
KOSHI,Taplejung,Phaktanlung Gaunpalika,30-34 Yrs.,Population - Male,412
KOSHI,Taplejung,Phaktanlung Gaunpalika,30-34 Yrs.,Population - Female,387
KOSHI,Taplejung,Phaktanlung Gaunpalika,35-39 Yrs.,Population - Total,702
KOSHI,Taplejung,Phaktanlung Gaunpalika,35-39 Yrs.,Population - Male,384
KOSHI,Taplejung,Phaktanlung Gaunpalika,35-39 Yrs.,Population - Female,318
KOSHI,Taplejung,Phaktanlung Gaunpalika,40-44 Yrs.,Population - Total,557
KOSHI,Taplejung,Phaktanlung Gaunpalika,40-44 Yrs.,Population - Male,267
KOSHI,Taplejung,Phaktanlung Gaunpalika,40-44 Yrs.,Population - Female,290
KOSHI,Taplejung,Phaktanlung Gaunpalika,45-49 Yrs.,Population - Total,517
KOSHI,Taplejung,Phaktanlung Gaunpalika,45-49 Yrs.,Population - Male,254
KOSHI,Taplejung,Phaktanlung Gaunpalika,45-49 Yrs.,Population - Female,263
KOSHI,Taplejung,Phaktanlung Gaunpalika,50-54 Yrs.,Population - Total,594
KOSHI,Taplejung,Phaktanlung Gaunpalika,50-54 Yrs.,Population - Male,300
KOSHI,Taplejung,Phaktanlung Gaunpalika,50-54 Yrs.,Population - Female,294
KOSHI,Taplejung,Phaktanlung Gaunpalika,55-59 Yrs.,Population - Total,472
KOSHI,Taplejung,Phaktanlung Gaunpalika,55-59 Yrs.,Population - Male,250
KOSHI,Taplejung,Phaktanlung Gaunpalika,55-59 Yrs.,Population - Female,222
KOSHI,Taplejung,Phaktanlung Gaunpalika,60-64 Yrs.,Population - Total,413
KOSHI,Taplejung,Phaktanlung Gaunpalika,60-64 Yrs.,Population - Male,218
KOSHI,Taplejung,Phaktanlung Gaunpalika,60-64 Yrs.,Population - Female,195
KOSHI,Taplejung,Phaktanlung Gaunpalika,65-69 Yrs.,Population - Total,296
KOSHI,Taplejung,Phaktanlung Gaunpalika,65-69 Yrs.,Population - Male,167
KOSHI,Taplejung,Phaktanlung Gaunpalika,65-69 Yrs.,Population - Female,129
KOSHI,Taplejung,Phaktanlung Gaunpalika,70-74 Yrs.,Population - Total,221
KOSHI,Taplejung,Phaktanlung Gaunpalika,70-74 Yrs.,Population - Male,104
KOSHI,Taplejung,Phaktanlung Gaunpalika,70-74 Yrs.,Population - Female,117
KOSHI,Taplejung,Phaktanlung Gaunpalika,75-79 Yrs.,Population - Total,133
KOSHI,Taplejung,Phaktanlung Gaunpalika,75-79 Yrs.,Population - Male,77
KOSHI,Taplejung,Phaktanlung Gaunpalika,75-79 Yrs.,Population - Female,56
KOSHI,Taplejung,Phaktanlung Gaunpalika,80-84 Yrs.,Population - Total,67
KOSHI,Taplejung,Phaktanlung Gaunpalika,80-84 Yrs.,Population - Male,38
KOSHI,Taplejung,Phaktanlung Gaunpalika,80-84 Yrs.,Population - Female,29
KOSHI,Taplejung,Phaktanlung Gaunpalika,85-89 Yrs.,Population - Total,27
KOSHI,Taplejung,Phaktanlung Gaunpalika,85-89 Yrs.,Population - Male,15
KOSHI,Taplejung,Phaktanlung Gaunpalika,85-89 Yrs.,Population - Female,12
KOSHI,Taplejung,Phaktanlung Gaunpalika,90-94 Yrs.,Population - Total,13
KOSHI,Taplejung,Phaktanlung Gaunpalika,90-94 Yrs.,Population - Male,7
KOSHI,Taplejung,Phaktanlung Gaunpalika,90-94 Yrs.,Population - Female,6
KOSHI,Taplejung,Phaktanlung Gaunpalika,95+ Yrs.,Population - Total,2
KOSHI,Taplejung,Phaktanlung Gaunpalika,95+ Yrs.,Population - Male,0
