Area (level 1),Area (level 2),Area (level 3),sex,Indicator,Value
KOSHI,Khotang,Halesi Tuwachung Municipality,Male,Relation of  household head - Not Stated,0
KOSHI,Khotang,Halesi Tuwachung Municipality,Female,Total,13720
KOSHI,Khotang,Halesi Tuwachung Municipality,Female,Relation of  household head - Household head,1373
KOSHI,Khotang,Halesi Tuwachung Municipality,Female,Relation of  household head - Husband/ Wife,4157
KOSHI,Khotang,Halesi Tuwachung Municipality,Female,Relation of  household head - Son / Daughter in Law,1342
KOSHI,Khotang,Halesi Tuwachung Municipality,Female,Relation of  household head - Daughter/ Son in Law,4879
KOSHI,Khotang,Halesi Tuwachung Municipality,Female,Relation of  household head - Father/ Mother,420
KOSHI,Khotang,Halesi Tuwachung Municipality,Female,Relation of  household head - Father in Law/ Mother in Law,61
KOSHI,Khotang,Halesi Tuwachung Municipality,Female,Relation of  household head - Brother/ Sister,266
KOSHI,Khotang,Halesi Tuwachung Municipality,Female,Relation of  household head - Grand Son/ Grand Daugher,1053
KOSHI,Khotang,Halesi Tuwachung Municipality,Female,Relation of  household head - Other Relative,152
KOSHI,Khotang,Halesi Tuwachung Municipality,Female,Relation of  household head - Domestic Helper,2
KOSHI,Khotang,Halesi Tuwachung Municipality,Female,Relation of  household head - Not Related,15
KOSHI,Khotang,Halesi Tuwachung Municipality,Female,Relation of  household head - Not Stated,0
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Total,Total,43008
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Total,Relation of  household head - Household head,10767
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Total,Relation of  household head - Husband/ Wife,7361
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Total,Relation of  household head - Son / Daughter in Law,11447
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Total,Relation of  household head - Daughter/ Son in Law,7028
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Total,Relation of  household head - Father/ Mother,1084
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Total,Relation of  household head - Father in Law/ Mother in Law,293
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Total,Relation of  household head - Brother/ Sister,1072
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Total,Relation of  household head - Grand Son/ Grand Daugher,3222
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Total,Relation of  household head - Other Relative,554
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Total,Relation of  household head - Domestic Helper,46
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Total,Relation of  household head - Not Related,134
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Total,Relation of  household head - Not Stated,0
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Male,Total,20823
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Male,Relation of  household head - Household head,7415
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Male,Relation of  household head - Husband/ Wife,931
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Male,Relation of  household head - Son / Daughter in Law,9372
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Male,Relation of  household head - Daughter/ Son in Law,32
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Male,Relation of  household head - Father/ Mother,340
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Male,Relation of  household head - Father in Law/ Mother in Law,100
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Male,Relation of  household head - Brother/ Sister,543
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Male,Relation of  household head - Grand Son/ Grand Daugher,1697
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Male,Relation of  household head - Other Relative,255
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Male,Relation of  household head - Domestic Helper,41
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Male,Relation of  household head - Not Related,97
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Male,Relation of  household head - Not Stated,0
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Female,Total,22185
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Female,Relation of  household head - Household head,3352
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Female,Relation of  household head - Husband/ Wife,6430
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Female,Relation of  household head - Son / Daughter in Law,2075
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Female,Relation of  household head - Daughter/ Son in Law,6996
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Female,Relation of  household head - Father/ Mother,744
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Female,Relation of  household head - Father in Law/ Mother in Law,193
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Female,Relation of  household head - Brother/ Sister,529
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Female,Relation of  household head - Grand Son/ Grand Daugher,1525
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Female,Relation of  household head - Other Relative,299
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Female,Relation of  household head - Domestic Helper,5
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Female,Relation of  household head - Not Related,37
KOSHI,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Female,Relation of  household head - Not Stated,0
KOSHI,Khotang,Sakela Gaunpalika,Total,Total,9623
KOSHI,Khotang,Sakela Gaunpalika,Total,Relation of  household head - Household head,2299
KOSHI,Khotang,Sakela Gaunpalika,Total,Relation of  household head - Husband/ Wife,1710
KOSHI,Khotang,Sakela Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,2713
KOSHI,Khotang,Sakela Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,1539
KOSHI,Khotang,Sakela Gaunpalika,Total,Relation of  household head - Father/ Mother,267
KOSHI,Khotang,Sakela Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,42
KOSHI,Khotang,Sakela Gaunpalika,Total,Relation of  household head - Brother/ Sister,200
KOSHI,Khotang,Sakela Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,747
KOSHI,Khotang,Sakela Gaunpalika,Total,Relation of  household head - Other Relative,90
KOSHI,Khotang,Sakela Gaunpalika,Total,Relation of  household head - Domestic Helper,1
KOSHI,Khotang,Sakela Gaunpalika,Total,Relation of  household head - Not Related,15
KOSHI,Khotang,Sakela Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Khotang,Sakela Gaunpalika,Male,Total,4825
KOSHI,Khotang,Sakela Gaunpalika,Male,Relation of  household head - Household head,1620
KOSHI,Khotang,Sakela Gaunpalika,Male,Relation of  household head - Husband/ Wife,281
KOSHI,Khotang,Sakela Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,2227
KOSHI,Khotang,Sakela Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,13
KOSHI,Khotang,Sakela Gaunpalika,Male,Relation of  household head - Father/ Mother,102
KOSHI,Khotang,Sakela Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,17
KOSHI,Khotang,Sakela Gaunpalika,Male,Relation of  household head - Brother/ Sister,105
KOSHI,Khotang,Sakela Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,405
KOSHI,Khotang,Sakela Gaunpalika,Male,Relation of  household head - Other Relative,43
KOSHI,Khotang,Sakela Gaunpalika,Male,Relation of  household head - Domestic Helper,1
KOSHI,Khotang,Sakela Gaunpalika,Male,Relation of  household head - Not Related,11
KOSHI,Khotang,Sakela Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Khotang,Sakela Gaunpalika,Female,Total,4798
KOSHI,Khotang,Sakela Gaunpalika,Female,Relation of  household head - Household head,679
KOSHI,Khotang,Sakela Gaunpalika,Female,Relation of  household head - Husband/ Wife,1429
KOSHI,Khotang,Sakela Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,486
KOSHI,Khotang,Sakela Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,1526
KOSHI,Khotang,Sakela Gaunpalika,Female,Relation of  household head - Father/ Mother,165
KOSHI,Khotang,Sakela Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,25
KOSHI,Khotang,Sakela Gaunpalika,Female,Relation of  household head - Brother/ Sister,95
KOSHI,Khotang,Sakela Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,342
KOSHI,Khotang,Sakela Gaunpalika,Female,Relation of  household head - Other Relative,47
KOSHI,Khotang,Sakela Gaunpalika,Female,Relation of  household head - Domestic Helper,0
KOSHI,Khotang,Sakela Gaunpalika,Female,Relation of  household head - Not Related,4
KOSHI,Khotang,Sakela Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Total,Total,16305
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Total,Relation of  household head - Household head,3801
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Total,Relation of  household head - Husband/ Wife,2788
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,4690
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,2915
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Total,Relation of  household head - Father/ Mother,356
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,59
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Total,Relation of  household head - Brother/ Sister,252
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,1300
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Total,Relation of  household head - Other Relative,125
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Total,Relation of  household head - Domestic Helper,5
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Total,Relation of  household head - Not Related,14
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Male,Total,8043
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Male,Relation of  household head - Household head,2887
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Male,Relation of  household head - Husband/ Wife,207
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,3913
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,7
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Male,Relation of  household head - Father/ Mother,108
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,20
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Male,Relation of  household head - Brother/ Sister,132
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,713
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Male,Relation of  household head - Other Relative,42
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Male,Relation of  household head - Domestic Helper,2
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Male,Relation of  household head - Not Related,12
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Female,Total,8262
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Female,Relation of  household head - Household head,914
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Female,Relation of  household head - Husband/ Wife,2581
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,777
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,2908
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Female,Relation of  household head - Father/ Mother,248
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,39
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Female,Relation of  household head - Brother/ Sister,120
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,587
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Female,Relation of  household head - Other Relative,83
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Female,Relation of  household head - Domestic Helper,3
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Female,Relation of  household head - Not Related,2
KOSHI,Khotang,Diprung Chuichumma Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Khotang,Khotehang Gaunpalika,Total,Total,16846
KOSHI,Khotang,Khotehang Gaunpalika,Total,Relation of  household head - Household head,4115
KOSHI,Khotang,Khotehang Gaunpalika,Total,Relation of  household head - Husband/ Wife,2885
KOSHI,Khotang,Khotehang Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,4744
KOSHI,Khotang,Khotehang Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,2824
KOSHI,Khotang,Khotehang Gaunpalika,Total,Relation of  household head - Father/ Mother,386
KOSHI,Khotang,Khotehang Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,93
KOSHI,Khotang,Khotehang Gaunpalika,Total,Relation of  household head - Brother/ Sister,278
KOSHI,Khotang,Khotehang Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,1272
KOSHI,Khotang,Khotehang Gaunpalika,Total,Relation of  household head - Other Relative,199
KOSHI,Khotang,Khotehang Gaunpalika,Total,Relation of  household head - Domestic Helper,6
KOSHI,Khotang,Khotehang Gaunpalika,Total,Relation of  household head - Not Related,44
KOSHI,Khotang,Khotehang Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Khotang,Khotehang Gaunpalika,Male,Total,8260
KOSHI,Khotang,Khotehang Gaunpalika,Male,Relation of  household head - Household head,2941
KOSHI,Khotang,Khotehang Gaunpalika,Male,Relation of  household head - Husband/ Wife,339
KOSHI,Khotang,Khotehang Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,3941
KOSHI,Khotang,Khotehang Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,10
KOSHI,Khotang,Khotehang Gaunpalika,Male,Relation of  household head - Father/ Mother,108
KOSHI,Khotang,Khotehang Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,33
KOSHI,Khotang,Khotehang Gaunpalika,Male,Relation of  household head - Brother/ Sister,137
KOSHI,Khotang,Khotehang Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,619
KOSHI,Khotang,Khotehang Gaunpalika,Male,Relation of  household head - Other Relative,91
KOSHI,Khotang,Khotehang Gaunpalika,Male,Relation of  household head - Domestic Helper,5
KOSHI,Khotang,Khotehang Gaunpalika,Male,Relation of  household head - Not Related,36
KOSHI,Khotang,Khotehang Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Khotang,Khotehang Gaunpalika,Female,Total,8586
KOSHI,Khotang,Khotehang Gaunpalika,Female,Relation of  household head - Household head,1174
KOSHI,Khotang,Khotehang Gaunpalika,Female,Relation of  household head - Husband/ Wife,2546
KOSHI,Khotang,Khotehang Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,803
KOSHI,Khotang,Khotehang Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,2814
KOSHI,Khotang,Khotehang Gaunpalika,Female,Relation of  household head - Father/ Mother,278
KOSHI,Khotang,Khotehang Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,60
KOSHI,Khotang,Khotehang Gaunpalika,Female,Relation of  household head - Brother/ Sister,141
KOSHI,Khotang,Khotehang Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,653
KOSHI,Khotang,Khotehang Gaunpalika,Female,Relation of  household head - Other Relative,108
KOSHI,Khotang,Khotehang Gaunpalika,Female,Relation of  household head - Domestic Helper,1
KOSHI,Khotang,Khotehang Gaunpalika,Female,Relation of  household head - Not Related,8
KOSHI,Khotang,Khotehang Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Khotang,Jante Dhunga Gaunpalika,Total,Total,12016
KOSHI,Khotang,Jante Dhunga Gaunpalika,Total,Relation of  household head - Household head,2747
KOSHI,Khotang,Jante Dhunga Gaunpalika,Total,Relation of  household head - Husband/ Wife,1972
KOSHI,Khotang,Jante Dhunga Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,3505
KOSHI,Khotang,Jante Dhunga Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,2068
KOSHI,Khotang,Jante Dhunga Gaunpalika,Total,Relation of  household head - Father/ Mother,283
KOSHI,Khotang,Jante Dhunga Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,47
KOSHI,Khotang,Jante Dhunga Gaunpalika,Total,Relation of  household head - Brother/ Sister,215
KOSHI,Khotang,Jante Dhunga Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,1027
KOSHI,Khotang,Jante Dhunga Gaunpalika,Total,Relation of  household head - Other Relative,135
KOSHI,Khotang,Jante Dhunga Gaunpalika,Total,Relation of  household head - Domestic Helper,7
KOSHI,Khotang,Jante Dhunga Gaunpalika,Total,Relation of  household head - Not Related,10
KOSHI,Khotang,Jante Dhunga Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Khotang,Jante Dhunga Gaunpalika,Male,Total,5910
KOSHI,Khotang,Jante Dhunga Gaunpalika,Male,Relation of  household head - Household head,2114
KOSHI,Khotang,Jante Dhunga Gaunpalika,Male,Relation of  household head - Husband/ Wife,106
KOSHI,Khotang,Jante Dhunga Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,2888
KOSHI,Khotang,Jante Dhunga Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,11
KOSHI,Khotang,Jante Dhunga Gaunpalika,Male,Relation of  household head - Father/ Mother,81
KOSHI,Khotang,Jante Dhunga Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,17
KOSHI,Khotang,Jante Dhunga Gaunpalika,Male,Relation of  household head - Brother/ Sister,110
KOSHI,Khotang,Jante Dhunga Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,507
KOSHI,Khotang,Jante Dhunga Gaunpalika,Male,Relation of  household head - Other Relative,62
KOSHI,Khotang,Jante Dhunga Gaunpalika,Male,Relation of  household head - Domestic Helper,7
KOSHI,Khotang,Jante Dhunga Gaunpalika,Male,Relation of  household head - Not Related,7
KOSHI,Khotang,Jante Dhunga Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Khotang,Jante Dhunga Gaunpalika,Female,Total,6106
KOSHI,Khotang,Jante Dhunga Gaunpalika,Female,Relation of  household head - Household head,633
KOSHI,Khotang,Jante Dhunga Gaunpalika,Female,Relation of  household head - Husband/ Wife,1866
KOSHI,Khotang,Jante Dhunga Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,617
KOSHI,Khotang,Jante Dhunga Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,2057
KOSHI,Khotang,Jante Dhunga Gaunpalika,Female,Relation of  household head - Father/ Mother,202
KOSHI,Khotang,Jante Dhunga Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,30
KOSHI,Khotang,Jante Dhunga Gaunpalika,Female,Relation of  household head - Brother/ Sister,105
KOSHI,Khotang,Jante Dhunga Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,520
KOSHI,Khotang,Jante Dhunga Gaunpalika,Female,Relation of  household head - Other Relative,73
KOSHI,Khotang,Jante Dhunga Gaunpalika,Female,Relation of  household head - Domestic Helper,0
KOSHI,Khotang,Jante Dhunga Gaunpalika,Female,Relation of  household head - Not Related,3
KOSHI,Khotang,Jante Dhunga Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Total,Total,11397
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Total,Relation of  household head - Household head,2568
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Total,Relation of  household head - Husband/ Wife,1950
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,3305
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,2061
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Total,Relation of  household head - Father/ Mother,329
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,64
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Total,Relation of  household head - Brother/ Sister,236
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,749
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Total,Relation of  household head - Other Relative,116
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Total,Relation of  household head - Domestic Helper,1
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Total,Relation of  household head - Not Related,18
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Male,Total,5670
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Male,Relation of  household head - Household head,1929
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Male,Relation of  household head - Husband/ Wife,219
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,2800
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,13
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Male,Relation of  household head - Father/ Mother,112
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,18
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Male,Relation of  household head - Brother/ Sister,142
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,381
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Male,Relation of  household head - Other Relative,44
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Male,Relation of  household head - Domestic Helper,0
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Male,Relation of  household head - Not Related,12
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Female,Total,5727
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Female,Relation of  household head - Household head,639
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Female,Relation of  household head - Husband/ Wife,1731
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,505
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,2048
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Female,Relation of  household head - Father/ Mother,217
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,46
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Female,Relation of  household head - Brother/ Sister,94
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,368
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Female,Relation of  household head - Other Relative,72
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Female,Relation of  household head - Domestic Helper,1
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Female,Relation of  household head - Not Related,6
KOSHI,Khotang,Baraha Pokhari Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Khotang,INSTITUTIONAL,Total,Total,1378
KOSHI,Khotang,INSTITUTIONAL,Total,Relation of  household head - Household head,30
KOSHI,Khotang,INSTITUTIONAL,Total,Relation of  household head - Husband/ Wife,2
KOSHI,Khotang,INSTITUTIONAL,Total,Relation of  household head - Son / Daughter in Law,8
KOSHI,Khotang,INSTITUTIONAL,Total,Relation of  household head - Daughter/ Son in Law,4
KOSHI,Khotang,INSTITUTIONAL,Total,Relation of  household head - Father/ Mother,0
KOSHI,Khotang,INSTITUTIONAL,Total,Relation of  household head - Father in Law/ Mother in Law,0
KOSHI,Khotang,INSTITUTIONAL,Total,Relation of  household head - Brother/ Sister,1
KOSHI,Khotang,INSTITUTIONAL,Total,Relation of  household head - Grand Son/ Grand Daugher,0
KOSHI,Khotang,INSTITUTIONAL,Total,Relation of  household head - Other Relative,19
KOSHI,Khotang,INSTITUTIONAL,Total,Relation of  household head - Domestic Helper,0
KOSHI,Khotang,INSTITUTIONAL,Total,Relation of  household head - Not Related,1314
KOSHI,Khotang,INSTITUTIONAL,Total,Relation of  household head - Not Stated,0
KOSHI,Khotang,INSTITUTIONAL,Male,Total,1269
KOSHI,Khotang,INSTITUTIONAL,Male,Relation of  household head - Household head,30
KOSHI,Khotang,INSTITUTIONAL,Male,Relation of  household head - Husband/ Wife,0
KOSHI,Khotang,INSTITUTIONAL,Male,Relation of  household head - Son / Daughter in Law,8
KOSHI,Khotang,INSTITUTIONAL,Male,Relation of  household head - Daughter/ Son in Law,0
KOSHI,Khotang,INSTITUTIONAL,Male,Relation of  household head - Father/ Mother,0
KOSHI,Khotang,INSTITUTIONAL,Male,Relation of  household head - Father in Law/ Mother in Law,0
KOSHI,Khotang,INSTITUTIONAL,Male,Relation of  household head - Brother/ Sister,1
KOSHI,Khotang,INSTITUTIONAL,Male,Relation of  household head - Grand Son/ Grand Daugher,0
KOSHI,Khotang,INSTITUTIONAL,Male,Relation of  household head - Other Relative,17
KOSHI,Khotang,INSTITUTIONAL,Male,Relation of  household head - Domestic Helper,0
KOSHI,Khotang,INSTITUTIONAL,Male,Relation of  household head - Not Related,1213
KOSHI,Khotang,INSTITUTIONAL,Male,Relation of  household head - Not Stated,0
KOSHI,Khotang,INSTITUTIONAL,Female,Total,109
KOSHI,Khotang,INSTITUTIONAL,Female,Relation of  household head - Household head,0
KOSHI,Khotang,INSTITUTIONAL,Female,Relation of  household head - Husband/ Wife,2
KOSHI,Khotang,INSTITUTIONAL,Female,Relation of  household head - Son / Daughter in Law,0
KOSHI,Khotang,INSTITUTIONAL,Female,Relation of  household head - Daughter/ Son in Law,4
KOSHI,Khotang,INSTITUTIONAL,Female,Relation of  household head - Father/ Mother,0
KOSHI,Khotang,INSTITUTIONAL,Female,Relation of  household head - Father in Law/ Mother in Law,0
KOSHI,Khotang,INSTITUTIONAL,Female,Relation of  household head - Brother/ Sister,0
KOSHI,Khotang,INSTITUTIONAL,Female,Relation of  household head - Grand Son/ Grand Daugher,0
KOSHI,Khotang,INSTITUTIONAL,Female,Relation of  household head - Other Relative,2
KOSHI,Khotang,INSTITUTIONAL,Female,Relation of  household head - Domestic Helper,0
KOSHI,Khotang,INSTITUTIONAL,Female,Relation of  household head - Not Related,101
KOSHI,Khotang,INSTITUTIONAL,Female,Relation of  household head - Not Stated,0
KOSHI,Bhojpur,,Total,Total,157923
KOSHI,Bhojpur,,Total,Relation of  household head - Household head,38631
KOSHI,Bhojpur,,Total,Relation of  household head - Husband/ Wife,27516
KOSHI,Bhojpur,,Total,Relation of  household head - Son / Daughter in Law,43948
KOSHI,Bhojpur,,Total,Relation of  household head - Daughter/ Son in Law,25092
KOSHI,Bhojpur,,Total,Relation of  household head - Father/ Mother,3317
