Area and  sex,Category,Indicator,Value
Tehrathum,Male,Not stated,4
Tehrathum,Female,Population aged 5 years & above,41936
Tehrathum,Female,Can read & write,31436
Tehrathum,Female,Can read only,148
Tehrathum,Female,Can't read & write,10351
Tehrathum,Female,Not stated,1
Panchthar,Total,Population aged 5 years & above,158424
Panchthar,Total,Can read & write,130362
Panchthar,Total,Can read only,305
Panchthar,Total,Can't read & write,27748
Panchthar,Total,Not stated,9
Panchthar,Male,Population aged 5 years & above,78552
Panchthar,Male,Can read & write,69656
Panchthar,Male,Can read only,129
Panchthar,Male,Can't read & write,8763
Panchthar,Male,Not stated,4
Panchthar,Female,Population aged 5 years & above,79872
Panchthar,Female,Can read & write,60706
Panchthar,Female,Can read only,176
Panchthar,Female,Can't read & write,18985
Panchthar,Female,Not stated,5
Ilam,Total,Population aged 5 years & above,261492
Ilam,Total,Can read & write,218008
Ilam,Total,Can read only,586
Ilam,Total,Can't read & write,42894
Ilam,Total,Not stated,4
Ilam,Male,Population aged 5 years & above,130192
Ilam,Male,Can read & write,115427
Ilam,Male,Can read only,260
Ilam,Male,Can't read & write,14504
Ilam,Male,Not stated,1
Ilam,Female,Population aged 5 years & above,131300
Ilam,Female,Can read & write,102581
Ilam,Female,Can read only,326
Ilam,Female,Can't read & write,28390
Ilam,Female,Not stated,3
Jhapa,Total,Population aged 5 years & above,925015
Jhapa,Total,Can read & write,766219
Jhapa,Total,Can read only,2450
Jhapa,Total,Can't read & write,156299
Jhapa,Total,Not stated,47
Jhapa,Male,Population aged 5 years & above,440501
Jhapa,Male,Can read & write,390143
Jhapa,Male,Can read only,1043
Jhapa,Male,Can't read & write,49299
Jhapa,Male,Not stated,16
Jhapa,Female,Population aged 5 years & above,484514
Jhapa,Female,Can read & write,376076
Jhapa,Female,Can read only,1407
Jhapa,Female,Can't read & write,107000
Jhapa,Female,Not stated,31
Morang,Total,Population aged 5 years & above,1060535
Morang,Total,Can read & write,833733
Morang,Total,Can read only,2143
Morang,Total,Can't read & write,224566
Morang,Total,Not stated,93
Morang,Male,Population aged 5 years & above,512069
Morang,Male,Can read & write,435789
Morang,Male,Can read only,905
Morang,Male,Can't read & write,75331
Morang,Male,Not stated,44
Morang,Female,Population aged 5 years & above,548466
Morang,Female,Can read & write,397944
Morang,Female,Can read only,1238
Morang,Female,Can't read & write,149235
Morang,Female,Not stated,49
Sunsari,Total,Population aged 5 years & above,848936
Sunsari,Total,Can read & write,662997
Sunsari,Total,Can read only,1631
Sunsari,Total,Can't read & write,184286
Sunsari,Total,Not stated,22
Sunsari,Male,Population aged 5 years & above,408260
Sunsari,Male,Can read & write,345456
Sunsari,Male,Can read only,629
Sunsari,Male,Can't read & write,62166
Sunsari,Male,Not stated,9
Sunsari,Female,Population aged 5 years & above,440676
Sunsari,Female,Can read & write,317541
Sunsari,Female,Can read only,1002
Sunsari,Female,Can't read & write,122120
Sunsari,Female,Not stated,13
Udayapur,Total,Population aged 5 years & above,312990
Udayapur,Total,Can read & write,241542
Udayapur,Total,Can read only,769
Udayapur,Total,Can't read & write,70672
Udayapur,Total,Not stated,7
Udayapur,Male,Population aged 5 years & above,149354
Udayapur,Male,Can read & write,125565
Udayapur,Male,Can read only,298
Udayapur,Male,Can't read & write,23488
Udayapur,Male,Not stated,3
Udayapur,Female,Population aged 5 years & above,163636
Udayapur,Female,Can read & write,115977
Udayapur,Female,Can read only,471
Udayapur,Female,Can't read & write,47184
Udayapur,Female,Not stated,4
Saptari,Total,Population aged 5 years & above,639351
Saptari,Total,Can read & write,432802
Saptari,Total,Can read only,1621
Saptari,Total,Can't read & write,204885
Saptari,Total,Not stated,43
Saptari,Male,Population aged 5 years & above,315154
Saptari,Male,Can read & write,246426
Saptari,Male,Can read only,723
Saptari,Male,Can't read & write,67983
Saptari,Male,Not stated,22
Saptari,Female,Population aged 5 years & above,324197
Saptari,Female,Can read & write,186376
Saptari,Female,Can read only,898
Saptari,Female,Can't read & write,136902
Saptari,Female,Not stated,21
Siraha,Total,Population aged 5 years & above,660735
Siraha,Total,Can read & write,430205
Siraha,Total,Can read only,1976
Siraha,Total,Can't read & write,228444
Siraha,Total,Not stated,110
Siraha,Male,Population aged 5 years & above,320175
Siraha,Male,Can read & write,239514
Siraha,Male,Can read only,905
Siraha,Male,Can't read & write,79701
Siraha,Male,Not stated,55
Siraha,Female,Population aged 5 years & above,340560
Siraha,Female,Can read & write,190691
Siraha,Female,Can read only,1071
Siraha,Female,Can't read & write,148743
Siraha,Female,Not stated,55
Dhanusha,Total,Population aged 5 years & above,772010
Dhanusha,Total,Can read & write,503476
Dhanusha,Total,Can read only,1600
Dhanusha,Total,Can't read & write,266797
Dhanusha,Total,Not stated,137
Dhanusha,Male,Population aged 5 years & above,376239
Dhanusha,Male,Can read & write,280603
Dhanusha,Male,Can read only,812
Dhanusha,Male,Can't read & write,94757
Dhanusha,Male,Not stated,67
Dhanusha,Female,Population aged 5 years & above,395771
Dhanusha,Female,Can read & write,222873
Dhanusha,Female,Can read only,788
Dhanusha,Female,Can't read & write,172040
Dhanusha,Female,Not stated,70
Mahottari,Total,Population aged 5 years & above,631664
Mahottari,Total,Can read & write,377568
Mahottari,Total,Can read only,1868
Mahottari,Total,Can't read & write,252123
Mahottari,Total,Not stated,105
Mahottari,Male,Population aged 5 years & above,308940
Mahottari,Male,Can read & write,211218
Mahottari,Male,Can read only,927
Mahottari,Male,Can't read & write,96743
Mahottari,Male,Not stated,52
Mahottari,Female,Population aged 5 years & above,322724
Mahottari,Female,Can read & write,166350
Mahottari,Female,Can read only,941
Mahottari,Female,Can't read & write,155380
Mahottari,Female,Not stated,53
Sarlahi,Total,Population aged 5 years & above,775410
Sarlahi,Total,Can read & write,467669
Sarlahi,Total,Can read only,1477
Sarlahi,Total,Can't read & write,306128
Sarlahi,Total,Not stated,136
Sarlahi,Male,Population aged 5 years & above,389149
Sarlahi,Male,Can read & write,265511
Sarlahi,Male,Can read only,760
Sarlahi,Male,Can't read & write,122799
Sarlahi,Male,Not stated,79
Sarlahi,Female,Population aged 5 years & above,386261
Sarlahi,Female,Can read & write,202158
Sarlahi,Female,Can read only,717
Sarlahi,Female,Can't read & write,183329
Sarlahi,Female,Not stated,57
Rautahat,Total,Population aged 5 years & above,716200
Rautahat,Total,Can read & write,413631
Rautahat,Total,Can read only,2387
Rautahat,Total,Can't read & write,300155
Rautahat,Total,Not stated,27
Rautahat,Male,Population aged 5 years & above,358335
Rautahat,Male,Can read & write,236557
Rautahat,Male,Can read only,1158
Rautahat,Male,Can't read & write,120602
Rautahat,Male,Not stated,18
Rautahat,Female,Population aged 5 years & above,357865
Rautahat,Female,Can read & write,177074
Rautahat,Female,Can read only,1229
Rautahat,Female,Can't read & write,179553
Rautahat,Female,Not stated,9
Bara,Total,Population aged 5 years & above,685509
Bara,Total,Can read & write,442431
Bara,Total,Can read only,1565
Bara,Total,Can't read & write,241491
Bara,Total,Not stated,22
Bara,Male,Population aged 5 years & above,348877
Bara,Male,Can read & write,255170
Bara,Male,Can read only,728
Bara,Male,Can't read & write,92969
Bara,Male,Not stated,10
Bara,Female,Population aged 5 years & above,336632
Bara,Female,Can read & write,187261
Bara,Female,Can read only,837
Bara,Female,Can't read & write,148522
Bara,Female,Not stated,12
Parsa,Total,Population aged 5 years & above,592599
Parsa,Total,Can read & write,409631
Parsa,Total,Can read only,1737
Parsa,Total,Can't read & write,181143
Parsa,Total,Not stated,88
Parsa,Male,Population aged 5 years & above,305532
Parsa,Male,Can read & write,237461
Parsa,Male,Can read only,846
Parsa,Male,Can't read & write,67177
Parsa,Male,Not stated,48
Parsa,Female,Population aged 5 years & above,287067
Parsa,Female,Can read & write,172170
Parsa,Female,Can read only,891
Parsa,Female,Can't read & write,113966
Parsa,Female,Not stated,40
Dolakha,Total,Population aged 5 years & above,160858
Dolakha,Total,Can read & write,116312
Dolakha,Total,Can read only,688
Dolakha,Total,Can't read & write,43848
Dolakha,Total,Not stated,10
Dolakha,Male,Population aged 5 years & above,77505
Dolakha,Male,Can read & write,62832
Dolakha,Male,Can read only,237
Dolakha,Male,Can't read & write,14428
