province,district,palika,sex,breakdown,sector,value,district_code,province_code,palika_code
SUDURPASCHIM,Bajura,,,3 Children,Total ever married female,5374.0,701,7,
SUDURPASCHIM,Bajura,,,3 Children,15 - 19,8.0,701,7,
SUDURPASCHIM,Bajura,,,3 Children,20 - 24,334.0,701,7,
SUDURPASCHIM,Bajura,,,3 Children,25 - 29,1015.0,701,7,
SUDURPASCHIM,Bajura,,,3 Children,30 - 34,1314.0,701,7,
SUDURPASCHIM,Bajura,,,3 Children,35 - 39,1201.0,701,7,
SUDURPASCHIM,Bajura,,,3 Children,40 - 44,858.0,701,7,
SUDURPASCHIM,Bajura,,,3 Children,45 - 49,644.0,701,7,
SUDURPASCHIM,Bajura,,,4 Children,Total ever married female,3892.0,701,7,
SUDURPASCHIM,Bajura,,,4 Children,15 - 19,4.0,701,7,
SUDURPASCHIM,Bajura,,,4 Children,20 - 24,63.0,701,7,
SUDURPASCHIM,Bajura,,,4 Children,25 - 29,363.0,701,7,
SUDURPASCHIM,Bajura,,,4 Children,30 - 34,782.0,701,7,
SUDURPASCHIM,Bajura,,,4 Children,35 - 39,1027.0,701,7,
SUDURPASCHIM,Bajura,,,4 Children,40 - 44,907.0,701,7,
SUDURPASCHIM,Bajura,,,4 Children,45 - 49,746.0,701,7,
SUDURPASCHIM,Bajura,,,5 Children,Total ever married female,2082.0,701,7,
SUDURPASCHIM,Bajura,,,5 Children,15 - 19,1.0,701,7,
SUDURPASCHIM,Bajura,,,5 Children,20 - 24,9.0,701,7,
SUDURPASCHIM,Bajura,,,5 Children,25 - 29,87.0,701,7,
SUDURPASCHIM,Bajura,,,5 Children,30 - 34,292.0,701,7,
SUDURPASCHIM,Bajura,,,5 Children,35 - 39,540.0,701,7,
SUDURPASCHIM,Bajura,,,5 Children,40 - 44,595.0,701,7,
SUDURPASCHIM,Bajura,,,5 Children,45 - 49,558.0,701,7,
SUDURPASCHIM,Bajura,,,6 Children,Total ever married female,895.0,701,7,
SUDURPASCHIM,Bajura,,,6 Children,15 - 19,0.0,701,7,
SUDURPASCHIM,Bajura,,,6 Children,20 - 24,3.0,701,7,
SUDURPASCHIM,Bajura,,,6 Children,25 - 29,15.0,701,7,
SUDURPASCHIM,Bajura,,,6 Children,30 - 34,89.0,701,7,
SUDURPASCHIM,Bajura,,,6 Children,35 - 39,227.0,701,7,
SUDURPASCHIM,Bajura,,,6 Children,40 - 44,263.0,701,7,
SUDURPASCHIM,Bajura,,,6 Children,45 - 49,298.0,701,7,
SUDURPASCHIM,Bajura,,,7 Children,Total ever married female,403.0,701,7,
SUDURPASCHIM,Bajura,,,7 Children,15 - 19,0.0,701,7,
SUDURPASCHIM,Bajura,,,7 Children,20 - 24,0.0,701,7,
SUDURPASCHIM,Bajura,,,7 Children,25 - 29,5.0,701,7,
SUDURPASCHIM,Bajura,,,7 Children,30 - 34,28.0,701,7,
SUDURPASCHIM,Bajura,,,7 Children,35 - 39,90.0,701,7,
SUDURPASCHIM,Bajura,,,7 Children,40 - 44,118.0,701,7,
SUDURPASCHIM,Bajura,,,7 Children,45 - 49,162.0,701,7,
SUDURPASCHIM,Bajura,,,8 Children,Total ever married female,174.0,701,7,
SUDURPASCHIM,Bajura,,,8 Children,15 - 19,0.0,701,7,
SUDURPASCHIM,Bajura,,,8 Children,20 - 24,0.0,701,7,
SUDURPASCHIM,Bajura,,,8 Children,25 - 29,0.0,701,7,
SUDURPASCHIM,Bajura,,,8 Children,30 - 34,11.0,701,7,
SUDURPASCHIM,Bajura,,,8 Children,35 - 39,39.0,701,7,
SUDURPASCHIM,Bajura,,,8 Children,40 - 44,58.0,701,7,
SUDURPASCHIM,Bajura,,,8 Children,45 - 49,66.0,701,7,
SUDURPASCHIM,Bajura,,,9 & More Children,Total ever married female,94.0,701,7,
SUDURPASCHIM,Bajura,,,9 & More Children,15 - 19,0.0,701,7,
SUDURPASCHIM,Bajura,,,9 & More Children,20 - 24,0.0,701,7,
SUDURPASCHIM,Bajura,,,9 & More Children,25 - 29,0.0,701,7,
SUDURPASCHIM,Bajura,,,9 & More Children,30 - 34,1.0,701,7,
SUDURPASCHIM,Bajura,,,9 & More Children,35 - 39,12.0,701,7,
SUDURPASCHIM,Bajura,,,9 & More Children,40 - 44,27.0,701,7,
SUDURPASCHIM,Bajura,,,9 & More Children,45 - 49,54.0,701,7,
SUDURPASCHIM,Bajura,Himali Gaunpalika,,Total,Total ever married female,1815.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,Total,15 - 19,101.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,Total,20 - 24,392.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,Total,25 - 29,310.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,Total,30 - 34,269.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,Total,35 - 39,257.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,Total,40 - 44,254.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,Total,45 - 49,232.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,No Children,Total ever married female,229.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,No Children,15 - 19,58.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,No Children,20 - 24,102.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,No Children,25 - 29,20.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,No Children,30 - 34,10.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,No Children,35 - 39,11.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,No Children,40 - 44,14.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,No Children,45 - 49,14.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,1 Child,Total ever married female,296.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,1 Child,15 - 19,37.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,1 Child,20 - 24,149.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,1 Child,25 - 29,55.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,1 Child,30 - 34,18.0,701,7,70105
SUDURPASCHIM,Bajura,Himali Gaunpalika,,1 Child,35 - 39,12.0,701,7,70105
